2026-06-29 09:22:00 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:00 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,1,3,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-3 | tr=T3 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:01 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-3 | tr=T3 | ok=true | m=[3,1,0,0,5,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,0,1,0,1,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,0,1,0,1,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-5 | tr=T4 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T6 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,1,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T9 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,0,1,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T10 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-6 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:02 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-7 | tr=T8 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,1,0,0,0,1] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-7 | tr=T11 | ok=true | m=[3,0,1,0,4,1,0,1,0,0,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-4 | tr=T5 | ok=true | m=[3,0,1,0,4,0,1,1,0,1,1,0,0,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-7 | tr=T7 | ok=true | m=[3,0,1,0,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-1 | tr=T1 | ok=true | m=[3,1,0,1,4,0,1,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-2 | tr=T2 | ok=true | m=[3,1,0,0,5,1,0,1,0,0,0,0,1,0,0] | pinv=OK
2026-06-29 09:22:03 | thr=Thread-1 | tr=T0 | ok=true | m=[2,0,1,0,4,1,0,1,0,0,0,0,1,0,0] | pinv=OK
